Funciones,Personas a cargo,Incentivos,UbicaciÃ³n,details,Idiomas,Info Otros Países,technologies,link,Experiencia,textos_limpios,company_name,FormaciÃ³n MÃ­nima,Nivel Profesional,+ Países,additional_info,date,job_name,Tipo contrato,Imprescindible Residir,CVs inscritos en el proceso,Ubicación,Número de puestos,Jornada,Formación Mínima,Salario,offer_id,Otras Provincias,tecnologias,textos_limpios,tecnologias
Técnico de Mantenimiento,,,,,,,['teleco'],https://www.tecnoempleo.com/tecnico-instalador-infraestructuras-presencial/teleco/rf-e05c107a925b5338194a,1 año,Técnico de Mantenimiento,OFG,,Empleado,,,11/09/2024,Técnico instalador Infraestructuras,Indefinido,,30,Madrid (Presencial),2,Jornada completa,FP2/Grado Superior,,e05c107a925b5338194a,,"teleco, Técnico de Mantenimiento",Técnico de Mantenimiento,"teleco, Técnico de Mantenimiento"
Tester,,"Seguro médico, formación",,,Inglés (Medio),,"['Selenium', 'JMeter']",https://www.tecnoempleo.com/qa-tester-automatico-remoto/selenium-jmeter/rf-6b611178623bf371d546,2 años,Tester,HAYS,,Empleado,,,11/09/2024,QA TESTER (Automático),Indefinido,España,182,100% En remoto,,Jornada completa,Ingeniero Superior,36.000 € - 45.000 € Bruto/año,6b611178623bf371d546,,"Selenium, JMeter, Tester",Tester,"Selenium, JMeter, Tester"
Consultor,,,,,Inglés (Alto),,['scrum'],https://www.tecnoempleo.com/scrum-master-ingles-c1-remoto/scrum/rf-127618d0222ca3a1a642,3-5 años,ConsultorJefe de EquipoJefe de Proyecto,Second Window,,Mando Intermedio,,,11/09/2024,Scrum Master (inglés C1),Indefinido,País Puesto,68,100% En remoto,,Jornada completa,Diplomado,39.000 € - 45.000 € Bruto/año,127618d0222ca3a1a642,,"scrum, Consultor, Jefe de Equipo, Jefe de Proyecto",ConsultorJefe de EquipoJefe de Proyecto,"scrum, Consultor, Jefe de Equipo, Jefe de Proyecto"
Tester,,,,,Inglés (Alto),,"['XRAY', 'ALM', 'Jira']",https://www.tecnoempleo.com/tester-remoto/xray-alm-jira-confluence/rf-61891419b21a5399784c,3 años,Tester,Krell Consulting & Training,,Empleado,,,11/09/2024,Tester,Indefinido,España,100,100% En remoto,,Jornada completa,Sin estudios,,61891419b21a5399784c,,"XRAY, ALM, Jira, Confluence, Tester",Tester,"XRAY, ALM, Jira, Confluence, Tester"
Jefe de Equipo,,Días de teletrabajo,,,,,['PMP'],https://www.tecnoempleo.com/jefe-proyecto-hibrida-hibrido/pmp/rf-9c4c1c7412a463aaaa43,3-5 años,Jefe de EquipoJefe de Proyecto,TRS Staffing Solutions,,Empleado,,,11/09/2024,Jefe de Proyecto - Híbrida,Indefinido,Provincia Puesto,20,Sevilla (Híbrido),,Jornada completa,FP2/Grado Superior,,9c4c1c7412a463aaaa43,,"PMP, Jefe de Equipo, Jefe de Proyecto",Jefe de EquipoJefe de Proyecto,"PMP, Jefe de Equipo, Jefe de Proyecto"
Helpdesk,,,,,Inglés,,"['Windows', 'Directorio Activo', 'GPOs']",https://www.tecnoempleo.com/tecnico-helpdesk-presencial/windows-directorio-activo-gpos/rf-a7b61124a23ba3031f4e,3 años,HelpdeskSoporte Técnico,The Whiteam,,Empleado,,,11/09/2024,Técnico Helpdesk,Indefinido,,107,Alicante (Presencial),,Jornada completa,FP2/Grado Superior,,a7b61124a23ba3031f4e,,"Windows, Directorio Activo, GPOs, Helpdesk, Soporte Técnico",HelpdeskSoporte Técnico,"Windows, Directorio Activo, GPOs, Helpdesk, Soporte Técnico"
Programador,,,,,,,"['Spark', 'Scala', 'Hive']",https://www.tecnoempleo.com/desarrolladores-spark-scala-remoto/spark-scala-hive/rf-e5ef15cbb2b1d31b5748,3-5 años,Programador,Krell Consulting & Training,,Empleado,,,11/09/2024,Desarrolladores Spark/Scala,Indefinido,,14,100% En remoto,,Jornada completa,Sin estudios,,e5ef15cbb2b1d31b5748,,"Spark, Scala, Hive, Programador",Programador,"Spark, Scala, Hive, Programador"
Programador,,,,,Inglés (Alto),,"['.net', 'C#']",https://www.tecnoempleo.com/programador-senior-c-net-remoto/net-c/rf-a5121e9572bfe3d9944f,3 años,Programador,Krell Consulting & Training,,Empleado,,,11/09/2024,Programador Senior C# .NET,Indefinido,España,114,100% En remoto,,Jornada completa,Sin estudios,,a5121e9572bfe3d9944f,,".net, C#, Programador",Programador,".net, C#, Programador"
Big Data,,,,,,,"['Spark', 'Scala', 'CI/CD']",https://www.tecnoempleo.com/ingeniero-datos-con-spark-scala-hibrido/spark-scala-ci-cd-python-git-jenki/rf-5ec010f422ac3348f64f,2 años,Big Data,Krell Consulting & Training,,Especialista,,,11/09/2024,Ingeniero/a de Datos con Spark/Scala,Indefinido,Provincia Puesto,10,Madrid (Híbrido),,Jornada completa,FP2/Grado Superior,33.000 € - 36.000 € Bruto/año,5ec010f422ac3348f64f,,"Spark, Scala, CI/CD, Python, Git, Jenkins, Big Data",Big Data,"Spark, Scala, CI/CD, Python, Git, Jenkins, Big Data"
Electrónica,,,,,Inglés (Alto),,"['C#', 'Robótica', 'PLC']",https://www.tecnoempleo.com/tecnico-en-robotica-presencial/c-robotica-plc-automatizacion/rf-88c9194152ef03dd2244,1 año,ElectrónicaIngenieros/IndustriaTécnico Hardware,La Fabrica de Software y Hardware,,Empleado,,,11/09/2024,Técnico/a en robótica,Indefinido,Provincia Puesto,56,Madrid (Presencial),,Jornada completa,FP2/Grado Superior,24.000 € - 27.000 € Bruto/año,88c9194152ef03dd2244,,"C#, Robotica, PLC, Automatizacion, Electrónica, Ingenieros/Industria, Técnico Hardware",ElectrónicaIngenieros/IndustriaTécnico Hardware,"C#, Robotica, PLC, Automatizacion, Electrónica, Ingenieros/Industria, Técnico Hardware"
Analista Programador,,"Contrato indefinido, formación continua, otro",,,Español (Excelente),,"['.NET', 'java', 'sql']",https://www.tecnoempleo.com/senior-net-developer-hibrido/net-java-sql-javascript-aws-windows-c-git-htm/rf-20f41b5fe26fd38b1a49,3 años,Analista Programador,Bcnc Group,,Empleado,,,11/09/2024,Senior .NET Developer,Indefinido,Provincia Puesto,7,Barcelona (Híbrido),,Jornada completa,FP2/Grado Superior,,20f41b5fe26fd38b1a49,,".NET, java, sql, javascript, aws, windows, c#, git, html, Analista Programador",Analista Programador,".NET, java, sql, javascript, aws, windows, c#, git, html, Analista Programador"
Analista Programador,,,,,Inglés (Alto)| Francés (Alto),,"['java', 'sql', 'javascript']",https://www.tecnoempleo.com/programador-fullstack-php-javascript-presencial/java-sql-javascript-angula/rf-3475125ae22433a41641,1 año,Analista Programador,Vicky Foods,,Empleado,,,11/09/2024,Programador Fullstack PHP/Javascript,Indefinido,Provincia Puesto,98,Valencia (Presencial),,Jornada completa,FP2/Grado Superior,,3475125ae22433a41641,,"java, sql, javascript, angular, html, git, php, css, Analista Programador",Analista Programador,"java, sql, javascript, angular, html, git, php, css, Analista Programador"
Helpdesk,,,,,Catalán (Alto)| Inglés (Alto),,"['windows', 'ticketing', 'sccm']",https://www.tecnoempleo.com/operador-servicedesk-n2-presencial/windows-ticketing-sccm-ad/rf-17521e47b2abf38cd24a,1 año,Helpdesk,Grupo Sermicro,,Empleado,,,11/09/2024,Operador/a SERVICEDESK N2,A determinar,Provincia Puesto,80,Barcelona (Presencial),,Jornada completa,Grado Medio,,17521e47b2abf38cd24a,,"windows, ticketing, sccm, AD, Helpdesk",Helpdesk,"windows, ticketing, sccm, AD, Helpdesk"
Programador,,"Ticket Restaurante, Seguro Privado.....",,,Inglés (Alto),,"['C++', 'C', 'Tuxedo']",https://www.tecnoempleo.com/c-c-senior-engineer-remoto/c-c-tuxedo-pro-c-java/rf-a7241a40c245636b1146,Más de 5 años,Programador,Capgemini,,Empleado,,,11/09/2024,C/C++ Senior Engineer,Indefinido,,29,100% En remoto,,Jornada completa,FP1,,a7241a40c245636b1146,,"C++, C, Tuxedo, Pro*C, Java, Programador",Programador,"C++, C, Tuxedo, Pro*C, Java, Programador"
Helpdesk,,"Retribución flexible, seguro médico, concilia",,,,,"['microinformatica', 'windows']",https://www.tecnoempleo.com/tecnico-campo-presencial/microinformatica-windows/rf-06631ace82949376d245,1 año,HelpdeskSoporte TécnicoTécnico Hardware,FutuRS,,Empleado,,,11/09/2024,Técnico/a de Campo,Indefinido,Provincia Puesto,10,Asturias (Presencial),,Jornada completa,Grado Medio,,06631ace82949376d245,,"microinformatica, windows, Helpdesk, Soporte Técnico, Técnico Hardware",HelpdeskSoporte TécnicoTécnico Hardware,"microinformatica, windows, Helpdesk, Soporte Técnico, Técnico Hardware"
Analista Programador,,,,,,,"['.net', 'Openshift']",https://www.tecnoempleo.com/team-leader-net-remoto/net-openshift/rf-7d1a1fa6f209f3b8ba43,3-5 años,Analista ProgramadorDesarrollador Web,Krell Consulting & Training,,Empleado,,,11/09/2024,Team Leader .NET,Indefinido,España,41,100% En remoto,,Jornada completa,Sin estudios,,7d1a1fa6f209f3b8ba43,,".net, Openshift, Analista Programador, Desarrollador Web",Analista ProgramadorDesarrollador Web,".net, Openshift, Analista Programador, Desarrollador Web"
Desarrollador Web,,,,,,,"['java', 'HTML', 'JavaScript']",https://www.tecnoempleo.com/desarrollador-aplicaciones-java-hibrido/java-html-javascript/rf-509b1b02c2a503302546,3 años,Desarrollador WebProgramador,Krell Consulting & Training,,Empleado,,,11/09/2024,Desarrollador aplicaciones Java,Indefinido,España,51,Madrid (Híbrido),,Jornada completa,Sin estudios,,509b1b02c2a503302546,,"java, HTML, JavaScript, Desarrollador Web, Programador",Desarrollador WebProgramador,"java, HTML, JavaScript, Desarrollador Web, Programador"
Soporte Técnico,,,,,Catalán| Español,,"['Windows', 'Microsoft Office']",https://www.tecnoempleo.com/tecnic-infraestructura-climatizacion-presencial/windows-microsoft-office/rf-490c1274128c93b63244,Sin Experiencia,Soporte Técnico,Grup Adtel,,Empleado,,,11/09/2024,Tècnic/a Infraestructura Climatización,Indefinido,,81,Barcelona (Presencial),,Jornada completa,Grado Medio,,490c1274128c93b63244,,"Windows, Microsoft Office, Soporte Técnico",Soporte Técnico,"Windows, Microsoft Office, Soporte Técnico"
Analista Programador,,,,,,,"['.NET', 'C#', 'SQL']",https://www.tecnoempleo.com/desarrollador-net-madrid/net-c-sql/rf-e06f1c82823ac3d8594a,3 años,Analista Programador,Krell Consulting & Training,,Empleado,,,11/09/2024,Desarrollador .Net,Indefinido,,141,Madrid - España,,Jornada completa,Sin estudios,,e06f1c82823ac3d8594a,,".NET, C#, SQL, Analista Programador",Analista Programador,".NET, C#, SQL, Analista Programador"
Tester,,,,,Inglés (Medio),,"['jira', 'agile', 'zephyr']",https://www.tecnoempleo.com/qa-tester-manual-remoto/jira-agile-zephyr-confluence/rf-8a3710a1c2bd13a22945,2 años,Tester,Tuyú Technology,,Empleado,,,11/09/2024,QA tester manual,Indefinido,España,100,100% En remoto,,Jornada completa,FP2/Grado Superior,24.000 € - 27.000 € Bruto/año,8a3710a1c2bd13a22945,,"jira, agile, zephyr, confluence, Tester",Tester,"jira, agile, zephyr, confluence, Tester"
Analista Programador,,,,,,,"['SAP', 'Ariba']",https://www.tecnoempleo.com/sap-support-specialist-ingles-c1-teletrabajo-madri/sap-ariba/rf-5f9e1f17a2571340f44a,3 años,Analista Programador,Second Window,,Empleado,,,11/09/2024,SAP Support Specialist (Inglés C1). Teletrabajo,Indefinido,,27,Madrid - España,,Jornada completa,FP2/Grado Superior,,5f9e1f17a2571340f44a,,"SAP, Ariba, Analista Programador",Analista Programador,"SAP, Ariba, Analista Programador"
Programador,,,,,,,"['angular', 'net']",https://www.tecnoempleo.com/technical-leader-net-remote-madrid/angular-net/rf-10eb1420626073c4474e,3-5 años,Programador,Krell Consulting & Training,,Empleado,,,11/09/2024,Technical Leader .Net (REMOTE),Indefinido,,45,100% En remoto,,Jornada completa,,,10eb1420626073c4474e,,"angular, net, Programador",Programador,"angular, net, Programador"
Programador,,,,,Español (Excelente),,"['Angular', 'sql', 'PL/SQL']",https://www.tecnoempleo.com/programador-fullstack-con-angular-sql-hibrido/angular-sql-pl-sql/rf-2f871dfa5299c3ff9948,2 años,Programador,Digital Talent Agency,,Empleado,,,11/09/2024,Programador/a Fullstack con Angular SQL,Indefinido,,36,Barcelona (Híbrido),,Jornada completa,Grado Medio,,2f871dfa5299c3ff9948,Girona,"Angular, sql, PL/SQL, Programador",Programador,"Angular, sql, PL/SQL, Programador"
Redes,,,,,Inglés (Alto),,['redes'],https://www.tecnoempleo.com/especialista-en-redes-hibrido/redes/rf-b5991c926240536ea046,3-5 años,Redes,The Whiteam,,Empleado,,,11/09/2024,Especialista en Redes,Indefinido,Provincia Puesto,26,Madrid (Híbrido),,Jornada completa,FP2/Grado Superior,,b5991c926240536ea046,,"redes, Redes",Redes,"redes, Redes"
Administrador,,,Sevilla (HÃ­brido),,,,"['java', 'sql', 'linux']",https://www.tecnoempleo.com/administrador-middleware-hibrido/java-sql-linux-pl-sql-spring-git-jenkins-/rf-eb061f4932e3e304d744,3-5 aÃ±os,AdministradorTécnico de Sistemas,TRS Staffing Solutions,,Empleado,,,11/09/2024,Administrador Middleware,Indefinido,Provincia Puesto,13,,,Jornada completa,FP2/Grado Superior,,eb061f4932e3e304d744,,"java, sql, linux, PL/SQL, spring, git, jenkins, Weblogic, Administrador, Técnico de Sistemas",AdministradorTécnico de Sistemas,"java, sql, linux, PL/SQL, spring, git, jenkins, Weblogic, Administrador, Técnico de Sistemas"
Arquitecto TIC,,,,,Inglés (Alto),,"['Kafka', 'Microservicios', 'Microfrontends']",https://www.tecnoempleo.com/arquitecto-tecnico-remoto/kafka-microservicios-microfrontends-big-data/rf-c5871f8d420113dea446,3 años,Arquitecto TIC,Krell Consulting & Training,,Empleado,,,11/09/2024,Arquitecto/a Técnico,Indefinido,España,17,100% En remoto,,Jornada completa,Sin estudios,,c5871f8d420113dea446,,"Kafka, Microservicios, Microfrontends, Big data, Arquitecto TIC",Arquitecto TIC,"Kafka, Microservicios, Microfrontends, Big data, Arquitecto TIC"
Analista,,,,,,,"['ELK', 'Unix', 'Linux']",https://www.tecnoempleo.com/especialista-en-monitoreo-con-elk-teletrabajo/elk-unix-linux-windows-snmp-/rf-ee5718d46271438c4a41,3 años,AnalistaTécnico de Sistemas,Dot & Key Consulting,,Especialista,,,11/09/2024,Especialista en Monitoreo con ELK,Freelance/Autónomo,,8,Teletrabajo,,Jornada completa,FP2/Grado Superior,,ee5718d46271438c4a41,,"ELK, Unix, Linux, Windows, SNMP, JMX, Elastic Agent, APM Server, Analista, Técnico de Sistemas",AnalistaTécnico de Sistemas,"ELK, Unix, Linux, Windows, SNMP, JMX, Elastic Agent, APM Server, Analista, Técnico de Sistemas"
Big Data,,,,,Inglés (Alto),,"['aws', 'data', 'ci/cd']",https://www.tecnoempleo.com/data-engineer-remoto/aws-data-ci-cd-scala-spark/rf-9935189de25823f02841,3 años,Big Data,Krell Consulting & Training,,Empleado,,,11/09/2024,Data Engineer,Indefinido,España,14,100% En remoto,,Jornada completa,Grado Medio,,9935189de25823f02841,,"aws, data, ci/cd, scala, spark, Big Data",Big Data,"aws, data, ci/cd, scala, spark, Big Data"
Redes,,,,,,,"['TCP/IP', 'VPN']",https://www.tecnoempleo.com/tecnico-redes-zaragoza/tcp-ip-vpn/rf-b8651b2f126e43dc8042,3 años,Redes,Michael Page,,Empleado,,,11/09/2024,Técnico de Redes,Indefinido,,18,Zaragoza - España,,Jornada completa,,,b8651b2f126e43dc8042,,"TCP/IP, VPN, Redes",Redes,"TCP/IP, VPN, Redes"
Ciberseguridad,,,,,,,"['CISSP', 'Comptia Security+']",https://www.tecnoempleo.com/ingeniero-infraestructuras-seguridad-sevilla/cissp-comptia-security/rf-e89d1a03c2ead3eb5946,1 año,Ciberseguridad,GMV,,Empleado,,,11/09/2024,Ingeniero/a infraestructuras seguridad,Indefinido,,9,Sevilla - España,2,Jornada completa,,,e89d1a03c2ead3eb5946,Barcelona y Zaragoza,"CISSP, Comptia Security+, Ciberseguridad",Ciberseguridad,"CISSP, Comptia Security+, Ciberseguridad"
Diseño gráfico,,,,,,,['Adobe Suite'],https://www.tecnoempleo.com/product-designer-madrid/adobe-suite/rf-1e4c1ae3926d63981043,3 años,Diseño gráfico,Page Personnel,,Empleado,,,11/09/2024,Product Designer,Indefinido,,19,Madrid - España,,Jornada completa,,,1e4c1ae3926d63981043,,"Adobe Suite, Diseño gráfico",Diseño gráfico,"Adobe Suite, Diseño gráfico"
Programador,,,,,,,"['Angular', 'java']",https://www.tecnoempleo.com/desarrollador-fullstack-java-angular-hibrido/angular-java/rf-64ff12fd621923fb4a4f,3-5 años,Programador,Grupo Digital,,Empleado,,,11/09/2024,Desarrollador/a FullStack (Java/Angular),Indefinido,,17,Madrid (Híbrido),,Jornada completa,FP2/Grado Superior,,64ff12fd621923fb4a4f,,"Angular, java, Programador",Programador,"Angular, java, Programador"
Programador,,,,,,,"['php', 'python', 'GO']",https://www.tecnoempleo.com/fullstack-developer-php-typescript-barcelona/php-python-go-rust-node-js/rf-89c719126239e380f547,1 año,Programador,Michael Page,,Empleado,,,11/09/2024,Fullstack Developer PHP & Typescript,Indefinido,,85,Barcelona - España,,Jornada completa,,45.000 € - 72.000 € Bruto/año,89c719126239e380f547,,"php, python, GO, Rust, Node js, Programador",Programador,"php, python, GO, Rust, Node js, Programador"
Electrónica,,,,,,,"['automatización', 'electrónica']",https://www.tecnoempleo.com/ingeniero-automatizacion-zaragoza/automatizacion-electronica/rf-67a31534c2b8331a2b49,Más de 5 años,ElectrónicaIngenieros/Industria,Michael Page,,Empleado,,,11/09/2024,Ingeniero automatización,Indefinido,,4,Zaragoza - España,,Jornada completa,,,67a31534c2b8331a2b49,,"automatizacion, electronica, Electrónica, Ingenieros/Industria",ElectrónicaIngenieros/Industria,"automatizacion, electronica, Electrónica, Ingenieros/Industria"
Programador,,,,,,,"['React', 'CSS']",https://www.tecnoempleo.com/frontend-developer-lion-team-barcelona/react-css/rf-4c971f2d72256327474a,2 años,Programador,Semrush,,Empleado,,,11/09/2024,Frontend Developer (Lion Team),Indefinido,,29,Barcelona - España,,Jornada completa,,,4c971f2d72256327474a,,"React, CSS, Programador",Programador,"React, CSS, Programador"
Analista,,,,,,,['Analisis Funcional'],https://www.tecnoempleo.com/analista-funcional-financiero-hibrido-hibrido/analisis-funcional/rf-548e130d0221f3790647,3-5 años,Analista,Michael Page,,Empleado,,,11/09/2024,Analista Funcional Financiero Híbrido,Indefinido,,3,Baleares (Híbrido),,Jornada completa,,42.000 € - 60.000 € Bruto/año,548e130d0221f3790647,,"Analisis Funcional, Analista",Analista,"Analisis Funcional, Analista"
Arquitecto TIC,,,,,,,"['Ciberseguridad', 'CGP', 'Azure']",https://www.tecnoempleo.com/jefe-proyecto-arquitecto-seguridad-hibrido/ciberseguridad-cgp-azure/rf-0fe316451261b3e98943,3 años,Arquitecto TICCiberseguridadJefe de Proyecto,Michael Page,,Empleado,,,11/09/2024,Jefe Proyecto - Arquitecto (Seguridad),Indefinido,,4,Madrid (Híbrido),,Jornada completa,,,0fe316451261b3e98943,,"Ciberseguridad, CGP, Azure, Arquitecto TIC, Ciberseguridad, Jefe de Proyecto",Arquitecto TICCiberseguridadJefe de Proyecto,"Ciberseguridad, CGP, Azure, Arquitecto TIC, Ciberseguridad, Jefe de Proyecto"
Diseño gráfico,,,,,,,"['Adobe Illustrator', 'Photoshop', 'InDesign']",https://www.tecnoempleo.com/brand-and-marketing-designer-intern-hibrido/adobe-illustrator-photoshop-in/rf-2a1c19842218e3d50b48,Sin Experiencia,Diseño gráficoMarketing,embat,,Prácticas / Beca,,,11/09/2024,Brand and Marketing Designer Intern,Indefinido,,38,Madrid (Híbrido),,Jornada completa,,,2a1c19842218e3d50b48,,"Adobe Illustrator, Photoshop, InDesign, Diseño gráfico, Marketing",Diseño gráficoMarketing,"Adobe Illustrator, Photoshop, InDesign, Diseño gráfico, Marketing"
Jefe de Proyecto,,,,,,,"['PMP', 'Angular', 'NET']",https://www.tecnoempleo.com/project-manager-it-valencia/pmp-angular-net/rf-5d1e1df2925cc3e96e4d,3-5 años,Jefe de Proyecto,HAYS,,Empleado,,,11/09/2024,Project Manager IT,Indefinido,,12,"Valencia, Valencia - Valencia España",,Jornada completa,,,5d1e1df2925cc3e96e4d,,"PMP, Angular, NET, Jefe de Proyecto",Jefe de Proyecto,"PMP, Angular, NET, Jefe de Proyecto"
Programador,,,,,,,"['java', 'Go', 'REST']",https://www.tecnoempleo.com/senior-backend-developer-barcelona/java-go-rest/rf-c7d01a4e92ad33fe734b,3-5 años,Programador,Michael Page,,Empleado,,,11/09/2024,Senior Backend Developer,Indefinido,,7,Barcelona - España,,Jornada completa,,45.000 € - 60.000 € Bruto/año,c7d01a4e92ad33fe734b,,"java, Go, REST, Programador",Programador,"java, Go, REST, Programador"
Ingenieros/Industria,,,,,,,['Solidworks'],https://www.tecnoempleo.com/ingeniero-proyectos-gipuzkoa/solidworks/rf-62fd19d7b20a93b60840,Más de 5 años,Ingenieros/Industria,HAYS,,Empleado,,,11/09/2024,Ingeniero/a de proyectos,Indefinido,,2,"Guipúzcoa, Guipúzcoa - Gipuzkoa España",,Jornada completa,,,62fd19d7b20a93b60840,,"Solidworks, Ingenieros/Industria",Ingenieros/Industria,"Solidworks, Ingenieros/Industria"
Tester,,,,,,,"['Selenium', 'Cucumber', 'Ranorex']",https://www.tecnoempleo.com/qa-automation-tester-madrid/selenium-cucumber-ranorex-endtest/rf-72e313fd1213c3c5b942,3-5 años,Tester,Page Personnel,,Empleado,,,11/09/2024,QA Automation tester,Indefinido,,21,España - Madrid - España,,Jornada completa,,33.000 € - 45.000 € Bruto/año,72e313fd1213c3c5b942,,"Selenium, Cucumber, Ranorex, Endtest, Tester",Tester,"Selenium, Cucumber, Ranorex, Endtest, Tester"
Administrador,,,,,,,"['Windows', 'Linux']",https://www.tecnoempleo.com/it-project-manager-admin-sistemas-hibrido/windows-linux/rf-c59215d8f25663fcde44,3 años,AdministradorJefe de Equipo,Michael Page,,Empleado,,,11/09/2024,IT Project Manager (Admin. Sistemas),Indefinido,,15,Madrid (Híbrido),,Jornada completa,,30.000 € - 39.000 € Bruto/año,c59215d8f25663fcde44,,"Windows, Linux, Administrador, Jefe de Equipo",AdministradorJefe de Equipo,"Windows, Linux, Administrador, Jefe de Equipo"
Programador,,,,,,,"['Visual Studio', 'NET', 'HTML']",https://www.tecnoempleo.com/ingeniero-software-net-gipuzkoa/visual-studio-net-html/rf-72401d8882d5e3075642,3-5 años,Programador,HAYS,,Empleado,,,11/09/2024,Ingeniero Software .NET,Indefinido,,3,Gipuzkoa - España,,Jornada completa,,,72401d8882d5e3075642,,"Visual Studio, NET, HTML, Programador",Programador,"Visual Studio, NET, HTML, Programador"
I+D,,,,,,,"['GNSS', 'Python', '\xa0C++']",https://www.tecnoempleo.com/practicas-ingenieria-algoritmos-gnss-hibrido/gnss-python-c/rf-91c01f422224f3763242,Sin Experiencia,I+DIngenieros/IndustriaProgramador,GMV,,Prácticas / Beca,,,11/09/2024,Prácticas: Ingeniería algoritmos GNSS,Prácticas,,32,Madrid (Híbrido),4,Jornada completa,,,91c01f422224f3763242,,"GNSS, Python, C++, I+D, Ingenieros/Industria, Programador",I+DIngenieros/IndustriaProgramador,"GNSS, Python, C++, I+D, Ingenieros/Industria, Programador"
Técnico de Sistemas,,,,,,,"['linux', 'Bash']",https://www.tecnoempleo.com/administrador-sistemas-linux-madrid/linux-bash/rf-82f61d10d29f632d7845,3 años,Técnico de Sistemas,Page Personnel,,Empleado,,,11/09/2024,Administrador de Sistemas Linux,Indefinido,,20,Madrid - España,,Jornada completa,,45.000 € - 45.000 € Bruto/año,82f61d10d29f632d7845,,"linux, Bash, Técnico de Sistemas",Técnico de Sistemas,"linux, Bash, Técnico de Sistemas"
TÃ©cnico de GestiÃ³n,,,"Madrid, Madrid - Madrid EspaÃ±a",,,,"['GDMSS', 'SATCOM', 'GPS']",https://www.tecnoempleo.com/tecnico-proyecto-madrid/gdmss-satcom-gps/rf-d6481651527ee366fc43,1 aÃ±o,Técnico de Gestión,HAYS,,Empleado,,,11/09/2024,Técnico de proyecto,Indefinido,,3,,,Jornada completa,,,d6481651527ee366fc43,,"GDMSS, SATCOM, GPS, Técnico de Gestión",Técnico de Gestión,"GDMSS, SATCOM, GPS, Técnico de Gestión"
Jefe de Equipo,,,,,,,"['NET', 'SQL Server']",https://www.tecnoempleo.com/net-lead-madrid/net-sql-server/rf-197e12d5824443b44749,Más de 5 años,Jefe de Equipo,Page Personnel,,Empleado,,,11/09/2024,.NET lead,Indefinido,,16,España - Madrid - España,,Jornada completa,,33.000 € - 54.000 € Bruto/año,197e12d5824443b44749,,"NET, SQL Server, Jefe de Equipo",Jefe de Equipo,"NET, SQL Server, Jefe de Equipo"
Marketing,,,,,,,"['Amazon Vendor', 'SEO', 'SEM']",https://www.tecnoempleo.com/junior-e-commerce-specialist-presencial/amazon-vendor-seo-sem/rf-26931a7f22d663c6694e,1 año,Marketing,HAYS,,Empleado,,,11/09/2024,Junior E-commerce Specialist,Indefinido,,16,Madrid (Presencial),,Jornada completa,,,26931a7f22d663c6694e,,"Amazon Vendor, SEO, SEM, Marketing",Marketing,"Amazon Vendor, SEO, SEM, Marketing"
Programador,,,,,,,"['Javascript', 'Typescript']",https://www.tecnoempleo.com/backend-engineer-hibrido/javascript-typescript/rf-de5c1fe4b2c533259142,3-5 años,Programador,embat,,Empleado,,,11/09/2024,Backend Engineer,Indefinido,,13,Madrid (Híbrido),,Jornada completa,,,de5c1fe4b2c533259142,,"Javascript, Typescript, Programador",Programador,"Javascript, Typescript, Programador"
Programador,,,,,,,"['NET', 'C#']",https://www.tecnoempleo.com/senior-software-engineer-m-f-d-hibrido/net-c/rf-b3ae1ca7f2e443f85b41,1 año,Programador,Raisin,,Empleado,,,11/09/2024,(Senior) Software Engineer (m/f/d),Indefinido,,9,Madrid (Híbrido),,Jornada completa,,,b3ae1ca7f2e443f85b41,,"NET, C#, Programador",Programador,"NET, C#, Programador"
Analista Programador,,,,,,,"['Cobol', 'JCL', 'Linux']",https://www.tecnoempleo.com/cobol-rea-inversion-intercambio-extranjero-remoto/cobol-jcl-linux/rf-78f11692222b13371840,3 años,Analista Programador,Grupo Digital,,Empleado,,,11/09/2024,COBOL Área Inversión/Intercambio/Extranjero,Indefinido,,18,100% En remoto,,Jornada completa,FP2/Grado Superior,,78f11692222b13371840,,"Cobol, JCL, Linux, Analista Programador",Analista Programador,"Cobol, JCL, Linux, Analista Programador"
Diseño gráfico,,,,,,,"['adobe Premiere', 'After Effects', 'Photoshop']",https://www.tecnoempleo.com/practicas-diseno-multimedia-hibrido/adobe-premiere-after-effects-photoshop/rf-743c16e412da931c844a,Sin Experiencia,Diseño gráfico,GMV,,Prácticas / Beca,,,11/09/2024,Prácticas: Diseño multimedia,Prácticas,,16,Madrid (Híbrido),,Jornada completa,,,743c16e412da931c844a,,"adobe Premiere, After Effects, Photoshop, Illustrator, Diseño gráfico",Diseño gráfico,"adobe Premiere, After Effects, Photoshop, Illustrator, Diseño gráfico"
Inteligencia Artificial/Machine Learning,,,,,,,"['Inteligencia Artificial', 'Python', 'machine learning']",https://www.tecnoempleo.com/ai-engineer-madrid/inteligencia-artificial-python-machine-learning/rf-4e521a7c72142374d146,3-5 años,Inteligencia Artificial/Machine Learning,Michael Page,,Empleado,,,11/09/2024,AI ENGINEER,Indefinido,,8,Madrid - España,,Jornada completa,,48.000 € - 72.000 € Bruto/año,4e521a7c72142374d146,,"Inteligencia Artificial, Python, machine learning, Inteligencia Artificial/Machine Learning",Inteligencia Artificial/Machine Learning,"Inteligencia Artificial, Python, machine learning, Inteligencia Artificial/Machine Learning"
